I,T,RO,E,A,DE,DA,H,M,RE
65,1,D,22,0,8,7591,0,232,V
65,1,S,9,14,4,1476,6720,269,V
65,1,S,5,12,3,1260,7544,0,V
65,2,T,15,4,5,9688,3396,1728,D
65,2,D,13,2,9,5148,616,2406,D
65,2,D,15,3,10,6277,153,0,D
65,2,S,8,14,7,2557,5138,1459,D
65,2,S,4,9,5,2176,7299,969,D
66,1,T,26,0,5,9069,0,24145,V
66,1,D,31,9,3,11073,2,4677,V
66,1,D,24,2,7,10818,0,464,V
66,1,S,16,16,6,4458,11228,417,V
66,1,S,15,28,6,4923,11266,539,V
66,2,T,20,4,8,10671,170,7010,D
66,2,D,17,1,9,7903,488,6,D
66,2,D,15,3,12,8992,0,0,D
66,2,S,15,13,8,4157,14545,0,D
66,2,S,2,13,12,2738,8941,825,D
67,1,T,27,17,1,8749,0,9894,V
67,1,D,17,8,2,5160,0,1678,V
67,1,D,26,0,3,7476,0,0,V
67,1,S,10,14,3,1894,7968,266,V
67,1,S,17,15,4,5662,6594,0,V
67,2,T,7,1,7,6097,3548,1536,D
67,2,D,3,0,8,5917,767,150,D
67,2,D,3,1,10,4059,433,252,D
67,2,S,7,4,5,3379,6159,335,D
67,2,S,0,4,8,751,6075,113,D
68,1,T,19,1,6,9505,73,10075,V
68,1,D,20,11,1,7850,24,2177,V
68,1,D,28,0,9,9511,156,396,V
68,1,S,15,19,4,6315,7535,491,V
68,1,S,2,23,4,904,7011,0,V
68,2,T,9,3,6,5621,0,18697,D
68,2,D,15,2,11,8610,1311,1470,D
68,2,D,14,0,8,8236,0,109,D
68,2,S,3,13,8,1295,10903,141,D
68,2,S,5,10,7,1591,9304,769,D
69,1,T,22,2,6,10596,636,12954,V
69,1,D,23,6,4,9235,85,2202,V
69,1,D,29,0,10,12466,396,710,V
69,1,S,10,16,6,1944,8178,915,V
69,1,S,13,16,8,5071,8188,564,V
69,2,T,16,9,6,9069,1651,6569,D
69,2,D,15,6,12,6614,372,1057,D
69,2,D,20,6,8,8400,322,1728,D
69,2,S,13,17,4,3485,13814,0,D
69,2,S,11,11,7,4059,10291,157,D
70,1,T,40,18,8,14730,0,13583,V
70,1,D,30,6,8,9424,41,2975,V
70,1,D,44,0,14,13712,216,329,V
70,1,S,25,29,9,7697,17623,4938,V
70,1,S,12,23,10,2981,14238,981,V
70,2,T,23,1,10,13077,0,22625,D
70,2,D,26,1,15,11238,1773,0,D
70,2,D,25,4,15,15768,1460,0,D
70,2,S,22,20,8,6645,15713,51,D
70,2,S,7,16,10,3643,10970,739,D
71,1,T,28,5,5,14253,0,32061,V
71,1,D,21,3,16,10726,417,496,V
71,1,D,27,6,8,12403,0,0,V
71,1,S,13,24,8,4155,14224,374,V
71,1,S,12,21,14,3506,9732,0,V
71,2,T,36,4,8,17572,0,22295,D
71,2,D,15,0,10,5979,0,0,D
71,2,D,21,5,18,8182,266,4538,D
71,2,S,16,21,10,7100,12577,49,D
71,2,S,9,22,8,3121,13275,693,D
72,1,T,19,3,3,7011,0,14079,V
72,1,D,18,2,6,6174,0,0,V
72,1,D,24,1,4,8605,1322,0,V
72,1,S,14,8,2,5130,6603,0,V
72,1,S,5,12,3,1168,5812,191,V
72,2,T,9,2,6,6369,0,13987,D
72,2,D,8,0,8,4471,549,2450,D
72,2,D,5,1,8,4623,0,200,D
72,2,S,7,8,8,3276,6937,0,D
72,2,S,4,4,6,2087,7929,431,D
73,1,T,34,5,5,12268,0,17618,V
73,1,D,28,3,9,9394,1798,0,V
73,1,D,37,1,13,10885,33,1829,V
73,1,S,19,17,8,5164,6672,479,V
73,1,S,2,36,6,143,10917,0,V
73,2,T,22,5,12,11460,0,13367,D
73,2,D,29,0,12,9624,60,3066,D
73,2,D,15,3,14,4521,0,0,D
73,2,S,12,18,14,3439,8721,0,D
73,2,S,12,18,11,3691,7823,473,D
74,1,T,19,3,3,10192,0,7685,V
74,1,D,18,4,1,6945,59,2567,V
74,1,D,19,4,3,7525,792,0,V
74,1,S,16,20,3,3175,13072,0,V
74,1,S,7,15,2,1579,6500,177,V
74,2,T,8,1,7,9148,724,7528,D
74,2,D,9,0,7,6870,1187,0,D
74,2,D,8,0,7,7261,381,0,D
74,2,S,4,10,2,1675,9278,825,D
74,2,S,4,11,3,952,8933,0,D
75,1,T,15,6,0,4877,0,4785,V
75,1,D,18,3,0,6135,53,2171,V
75,1,D,13,1,5,5097,862,0,V
75,1,S,16,13,1,3569,5661,0,V
75,1,S,6,16,1,1671,7263,275,V
75,2,T,4,1,6,5299,0,7459,D
75,2,D,4,0,7,3028,62,297,D
75,2,D,3,1,5,5457,0,0,D
75,2,S,1,4,5,492,7052,28,D
75,2,S,2,3,6,1743,6018,295,D
76,1,T,28,6,2,7548,0,10490,V
76,1,D,23,6,4,5694,0,0,V
76,1,D,27,0,2,8178,726,0,V
76,1,S,7,21,1,1355,6997,206,V
76,1,S,23,10,3,4439,4545,0,V
76,2,T,6,1,9,4720,505,4838,D
76,2,D,5,0,15,3363,812,0,D
76,2,D,5,0,9,5189,0,134,D
76,2,S,3,2,5,2798,6136,434,D
76,2,S,2,4,9,1873,4386,0,D
77,1,T,19,4,3,8640,0,4757,V
77,1,D,19,8,2,4576,62,1515,V
77,1,D,25,1,6,9798,0,464,V
77,1,S,16,12,7,4569,7841,0,V
77,1,S,4,10,4,2124,8121,671,V
77,2,T,15,0,7,10048,0,14822,D
77,2,D,10,0,10,7663,0,221,D
77,2,D,12,6,10,7833,105,157,D
77,2,S,4,7,6,3612,7636,818,D
77,2,S,1,7,8,2040,7577,240,D
78,1,T,41,10,9,15979,217,6901,V
78,1,D,39,8,5,10240,94,5703,V
78,1,D,49,3,9,15516,517,0,V
78,1,S,24,25,8,6192,12410,599,V
78,1,S,31,37,10,9927,7101,0,V
78,2,T,26,3,11,12152,4410,15942,D
78,2,D,11,6,18,8942,377,2652,D
78,2,D,19,5,14,9819,733,913,D
78,2,S,11,16,12,2481,13443,882,D
78,2,S,15,17,16,5650,15359,0,D
79,1,T,27,1,3,10657,0,20484,V
79,1,D,34,3,9,9361,0,0,V
79,1,D,26,4,11,7738,0,524,V
79,1,S,34,23,8,10009,10817,0,V
79,1,S,21,32,4,6105,8560,1330,V
79,2,T,19,6,12,9375,859,7738,D
79,2,D,22,3,14,10002,368,1661,D
79,2,D,18,1,7,6648,0,45,D
79,2,S,10,16,13,3589,12316,475,D
79,2,S,11,14,13,3673,9639,1244,D
80,1,T,14,1,0,7651,0,7822,V
80,1,D,14,2,4,4957,0,0,V
80,1,D,17,2,3,6552,355,2559,V
80,1,S,15,11,3,3850,3477,0,V
80,1,S,3,18,2,166,5942,635,V
80,2,T,3,0,7,4001,0,4381,D
80,2,D,5,0,6,4113,143,0,D
80,2,D,10,0,4,5260,988,474,D
80,2,S,1,3,6,540,7532,0,D
80,2,S,4,6,6,778,5389,378,D
81,1,T,27,5,4,12845,0,20409,V
81,1,D,28,2,6,13300,886,352,V
81,1,D,34,0,8,10491,0,0,V
81,1,S,7,22,3,4155,10232,0,V
81,1,S,5,23,3,1144,9497,750,V
81,2,T,6,1,8,8117,1421,12787,D
81,2,D,12,1,11,12026,283,1146,D
81,2,D,12,2,10,8051,717,200,D
81,2,S,3,8,6,1316,14021,217,D
81,2,S,5,4,10,2165,10000,517,D
82,1,T,17,2,0,5542,0,5559,V
82,1,D,17,0,2,5645,0,0,V
82,1,D,11,0,3,3148,0,75,V
82,1,S,10,14,0,2249,5298,222,V
82,1,S,9,12,0,2693,4857,0,V
82,2,T,0,0,5,3863,0,2952,D
82,2,D,3,1,3,2456,517,488,D
82,2,D,1,0,5,2199,0,0,D
82,2,S,3,0,6,3338,3806,0,D
82,2,S,0,1,7,1020,2733,796,D
83,1,T,20,2,1,7557,0,12267,V
83,1,D,21,0,1,5761,0,0,V
83,1,D,16,2,4,4606,0,0,V
83,1,S,10,17,1,2917,4938,1406,V
83,1,S,9,12,2,1676,4075,48,V
83,2,T,2,0,10,3028,74,2107,D
83,2,D,5,0,6,4188,0,182,D
83,2,D,7,0,8,4895,245,0,D
83,2,S,0,8,5,413,5846,910,D
83,2,S,3,3,5,1948,4515,0,D
84,1,T,25,6,5,16130,0,20077,V
84,1,D,27,0,9,11546,369,0,V
84,1,D,26,0,8,9536,0,1109,V
84,1,S,8,23,7,2150,7867,88,V
84,1,S,20,8,9,9874,7552,0,V
84,2,T,17,2,7,9815,10933,1128,D
84,2,D,15,0,9,6903,0,328,D
84,2,D,18,1,10,8334,0,901,D
84,2,S,9,17,8,2201,13810,371,D
84,2,S,5,9,11,255,10763,0,D
85,1,T,21,3,3,8473,0,9271,V
85,1,D,19,0,5,6210,0,334,V
85,1,D,22,0,3,5435,0,0,V
85,1,S,15,14,6,3137,6691,0,V
85,1,S,12,15,5,3411,6142,0,V
85,2,T,13,0,6,5800,1767,6329,D
85,2,D,12,5,5,5106,742,1022,D
85,2,D,16,0,8,5640,0,574,D
85,2,S,5,8,8,2211,7099,0,D
85,2,S,5,8,7,1633,5900,958,D
86,1,T,16,3,2,7927,0,18481,V
86,1,D,13,1,6,4962,0,124,V
86,1,D,17,2,7,8452,518,508,V
86,1,S,8,15,4,1748,11754,549,V
86,1,S,9,16,6,3915,10995,0,V
86,2,T,10,2,8,9228,0,8148,D
86,2,D,12,3,4,8914,0,0,D
86,2,D,13,0,4,7316,0,0,D
86,2,S,7,10,5,3945,8074,0,D
86,2,S,6,9,7,3368,8009,405,D
87,1,T,23,7,1,14826,0,18911,V
87,1,D,26,0,8,12449,2037,232,V
87,1,D,25,7,8,10952,1628,72,V
87,1,S,22,26,5,6886,14931,173,V
87,1,S,12,29,2,2400,11510,0,V
87,2,T,12,3,9,8697,870,20071,D
87,2,D,15,3,7,10407,679,0,D
87,2,D,13,3,10,10229,1396,0,D
87,2,S,7,8,12,2216,12636,3412,D
87,2,S,16,13,7,7472,14998,535,D
88,1,T,20,0,5,11688,0,18575,V
88,1,D,20,3,8,11858,0,286,V
88,1,D,28,6,8,9889,0,709,V
88,1,S,0,25,6,0,10326,0,V
88,1,S,7,16,7,2051,10141,641,V
88,2,T,21,7,9,10663,455,9329,D
88,2,D,20,1,8,7177,0,0,D
88,2,D,20,0,11,9157,0,1983,D
88,2,S,12,18,9,2780,7600,672,D
88,2,S,14,16,7,3650,12469,1208,D
89,1,T,22,4,3,7831,0,10581,V
89,1,D,18,3,2,9435,0,0,V
89,1,D,13,1,4,6043,0,3099,V
89,1,S,16,14,1,2644,7105,287,V
89,1,S,7,16,4,1048,5295,74,V
89,2,T,7,1,5,4542,0,5768,D
89,2,D,8,1,8,5555,0,270,D
89,2,D,6,1,8,3873,174,2141,D
89,2,S,6,4,7,2818,7567,1157,D
89,2,S,1,5,6,467,7830,478,D
90,1,T,18,3,6,6492,0,12112,V
90,1,D,19,7,2,5982,69,1413,V
90,1,D,21,2,8,8650,659,386,V
90,1,S,15,5,4,3288,8106,116,V
90,1,S,22,12,4,4828,6801,407,V
90,2,T,10,0,7,7555,0,5510,D
90,2,D,15,1,10,6981,0,610,D
90,2,D,10,0,10,6269,0,219,D
90,2,S,5,5,6,2321,6083,620,D
90,2,S,8,14,5,2247,8544,251,D
91,1,T,22,9,0,8125,952,3327,V
91,1,D,17,1,3,5143,0,0,V
91,1,D,12,0,1,2070,0,0,V
91,1,S,21,13,4,4425,5867,0,V
91,1,S,10,14,3,1484,5075,466,V
91,2,T,5,0,7,4749,262,3622,D
91,2,D,6,0,7,6244,0,43,D
91,2,D,5,0,7,4369,0,924,D
91,2,S,1,5,4,855,6383,337,D
91,2,S,0,7,6,627,4268,0,D
92,1,T,31,6,12,17640,0,10026,V
92,1,D,16,2,19,7724,305,205,V
92,1,D,25,7,16,10912,222,1421,V
92,1,S,15,20,6,5516,11431,0,V
92,1,S,19,29,6,6600,16221,3807,V
92,2,T,34,14,11,18486,1872,8270,D
92,2,D,29,3,9,15368,0,213,D
92,2,D,30,6,12,8374,457,0,D
92,2,S,20,17,9,6462,11899,247,D
92,2,S,13,25,6,3593,15220,2112,D
93,1,T,17,3,5,5243,0,3850,V
93,1,D,22,10,8,5897,96,0,V
93,1,D,11,0,8,2828,0,113,V
93,1,S,11,16,2,1336,5877,2038,V
93,1,S,22,8,4,4741,2935,0,V
93,2,T,7,0,9,3772,81,5351,D
93,2,D,14,5,8,4734,0,0,D
93,2,D,10,0,11,5035,151,206,D
93,2,S,6,11,7,619,5174,476,D
93,2,S,10,0,6,4601,2056,0,D
94,1,T,34,13,13,19262,1942,7690,V
94,1,D,31,5,16,10861,524,327,V
94,1,D,42,14,5,14051,1863,556,V
94,1,S,24,31,6,6112,15054,5937,V
94,1,S,19,18,9,5512,13439,2046,V
94,2,T,31,2,9,13589,0,21724,D
94,2,D,28,2,12,14946,88,1620,D
94,2,D,31,12,8,18280,1199,0,D
94,2,S,16,29,12,3921,17471,1289,D
94,2,S,17,14,14,7035,16524,1718,D
95,1,T,21,12,4,11036,0,11151,V
95,1,D,18,1,10,6417,405,256,V
95,1,D,14,3,5,11218,0,0,V
95,1,S,12,16,3,3144,9385,2950,V
95,1,S,5,13,3,756,15649,265,V
95,2,T,14,3,5,12622,0,17282,D
95,2,D,11,1,11,8116,0,1317,D
95,2,D,13,0,7,9770,654,4,D
95,2,S,2,8,6,2035,9955,836,D
95,2,S,6,7,7,2514,10672,243,D
96,1,T,25,2,8,11265,0,14775,V
96,1,D,38,0,9,14365,392,1127,V
96,1,D,16,7,9,7265,452,1942,V
96,1,S,8,19,7,3462,10518,2966,V
96,1,S,17,25,5,5057,12252,554,V
96,2,T,25,8,7,10007,0,9354,D
96,2,D,21,0,11,13594,1221,46,D
96,2,D,24,1,12,7286,0,1288,D
96,2,S,12,17,11,3303,9297,157,D
96,2,S,15,22,8,3850,13920,0,D
97,1,T,14,11,2,5218,909,2828,V
97,1,D,26,0,6,6471,0,0,V
97,1,D,19,4,5,6651,958,0,V
97,1,S,7,16,2,1825,4912,1447,V
97,1,S,12,15,3,1430,5443,0,V
97,2,T,9,3,6,5799,769,2762,D
97,2,D,7,0,9,5558,0,320,D
97,2,D,7,0,7,4247,0,0,D
97,2,S,6,3,7,1725,3551,412,D
97,2,S,6,5,6,1330,4636,843,D
98,1,T,30,9,6,11170,2310,4769,V
98,1,D,30,4,10,10281,634,365,V
98,1,D,18,2,7,7937,0,420,V
98,1,S,21,30,4,4312,10241,3905,V
98,1,S,10,12,6,3514,8657,1122,V
98,2,T,16,6,10,10952,930,8330,D
98,2,D,13,2,10,10419,0,0,D
98,2,D,13,3,12,7447,0,0,D
98,2,S,16,12,10,5013,8294,0,D
98,2,S,7,16,6,2730,10663,619,D
99,1,T,11,6,1,3620,0,5073,V
99,1,D,12,1,3,4306,0,0,V
99,1,D,15,0,2,6276,130,136,V
99,1,S,4,10,0,666,6131,354,V
99,1,S,8,15,0,1885,5521,1123,V
99,2,T,4,2,4,4152,0,4862,D
99,2,D,4,0,4,3909,0,0,D
99,2,D,2,0,6,3110,0,254,D
99,2,S,1,2,4,1589,4280,0,D
99,2,S,2,0,3,2883,4233,215,D
100,1,T,27,4,4,10701,0,11075,V
100,1,D,28,7,4,12239,0,0,V
100,1,D,36,1,5,12075,1302,1034,V
100,1,S,13,26,4,3078,7544,4072,V
100,1,S,13,28,2,5016,11089,337,V
100,2,T,12,1,8,10320,1947,11405,D
100,2,D,11,3,15,6508,434,1991,D
100,2,D,0,0,0,0,0,0,D
100,2,S,6,12,8,5513,8810,0,D
100,2,S,6,8,11,1946,12377,1220,D
101,1,T,27,7,7,17218,706,10034,V
101,1,D,26,6,13,13042,242,51,V
101,1,D,20,2,10,17869,26,106,V
101,1,S,11,21,5,3997,11819,1327,V
101,1,S,14,29,6,6437,11167,4986,V
101,2,T,20,15,7,13271,0,11869,D
101,2,D,24,0,14,10621,31,780,D
101,2,D,30,6,12,11874,1664,4211,D
101,2,S,15,15,5,7223,16743,616,D
101,2,S,1,19,6,828,16644,952,D
102,1,T,24,4,5,9840,501,14984,V
102,1,D,19,4,6,8518,645,0,V
102,1,D,15,6,9,8573,565,496,V
102,1,S,13,18,4,3424,8774,3259,V
102,1,S,10,17,4,2729,10240,575,V
102,2,T,11,5,6,9805,553,5085,D
102,2,D,14,0,8,10027,655,240,D
102,2,D,17,6,9,7887,361,121,D
102,2,S,11,9,11,4065,6656,0,D
102,2,S,6,9,7,1897,10684,266,D
103,1,T,18,5,4,11187,376,7041,V
103,1,D,19,4,8,12496,484,623,V
103,1,D,15,3,9,8690,0,0,V
103,1,S,15,15,2,4180,10533,4861,V
103,1,S,10,12,4,3135,9788,303,V
103,2,T,13,4,5,12455,1826,4239,D
103,2,D,13,3,11,5169,0,0,D
103,2,D,14,1,5,10771,429,2315,D
103,2,S,5,16,7,2247,13464,1059,D
103,2,S,10,13,8,2625,9658,0,D
104,1,T,23,5,6,7193,27,8617,V
104,1,D,21,5,8,7838,0,0,V
104,1,D,18,2,4,6484,663,442,V
104,1,S,12,13,3,2629,5531,436,V
104,1,S,17,23,2,2810,6064,3028,V
104,2,T,20,0,4,5936,0,19074,D
104,2,D,11,3,7,4887,149,125,D
104,2,D,3,0,8,3972,884,0,D
104,2,S,6,10,9,2868,9233,493,D
104,2,S,11,6,6,3703,5623,0,D
105,1,T,30,2,14,14538,0,19256,V
105,1,D,26,3,12,11692,102,621,V
105,1,D,30,8,10,9218,876,274,V
105,1,S,27,23,11,7935,14115,0,V
105,1,S,14,24,8,3050,13037,1311,V
105,2,T,31,8,11,14359,1718,5122,D
105,2,D,26,0,14,10501,0,2103,D
105,2,D,29,1,12,11939,0,0,D
105,2,S,21,23,11,5793,12258,1448,D
105,2,S,16,22,11,3850,11440,545,D
106,1,T,18,6,2,5652,0,2813,V
106,1,D,19,0,3,4779,0,0,V
106,1,D,12,1,2,6521,0,322,V
106,1,S,9,13,1,2381,5585,247,V
106,1,S,17,23,1,3046,6235,0,V
106,2,T,5,0,7,5168,0,3414,D
106,2,D,6,0,4,3930,393,0,D
106,2,D,6,0,8,4117,0,1783,D
106,2,S,3,5,6,1502,5361,509,D
106,2,S,3,1,6,1296,3921,55,D
107,1,T,26,9,4,9396,1144,5695,V
107,1,D,26,3,8,10593,0,95,V
107,1,D,21,5,9,5659,0,0,V
107,1,S,9,18,6,3602,8591,284,V
107,1,S,17,19,7,3388,12592,365,V
107,2,T,15,4,8,10316,1927,4443,D
107,2,D,24,0,11,9603,0,2011,D
107,2,D,16,7,8,7621,1233,0,D
107,2,S,5,13,8,1981,8344,481,D
107,2,S,6,14,5,2545,7359,1134,D
108,1,T,15,8,4,7348,1317,1853,V
108,1,D,19,0,8,9374,0,0,V
108,1,D,11,1,4,5604,0,0,V
108,1,S,0,12,4,14,6471,0,V
108,1,S,4,8,2,3915,6626,1490,V
108,2,T,13,3,3,7403,0,11467,D
108,2,D,12,2,7,6465,0,0,D
108,2,D,9,0,7,7491,124,59,D
108,2,S,5,8,6,2331,6807,318,D
108,2,S,6,7,4,2110,6977,0,D
109,1,T,28,9,4,11434,1817,2097,V
109,1,D,18,5,6,11312,0,0,V
109,1,D,21,0,3,14527,1649,0,V
109,1,S,5,13,5,4712,7876,726,V
109,1,S,10,16,2,4616,9327,92,V
109,2,T,16,5,6,9712,0,6700,D
109,2,D,12,1,9,12147,551,0,D
109,2,D,13,2,8,10051,0,96,D
109,2,S,0,12,6,365,8547,0,D
109,2,S,2,8,7,1305,8240,1197,D
110,1,T,17,6,1,6832,1193,1855,V
110,1,D,17,0,2,8238,0,1607,V
110,1,D,16,11,2,5901,666,3209,V
110,1,S,14,11,5,4951,4328,659,V
110,1,S,18,16,1,4444,10090,0,V
110,2,T,5,1,9,5281,3757,1913,D
110,2,D,4,1,6,6320,468,317,D
110,2,D,7,0,5,6088,0,579,D
110,2,S,2,8,4,2176,6913,0,D
110,2,S,6,7,2,5164,6436,0,D
111,1,T,36,9,7,13831,1952,3672,V
111,1,D,35,1,8,16681,2097,0,V
111,1,D,31,8,7,13937,0,208,V
111,1,S,29,18,5,10185,8930,574,V
111,1,S,8,31,5,1258,13701,0,V
111,2,T,20,6,11,14399,2180,17996,D
111,2,D,20,4,13,14663,33,0,D
111,2,D,15,1,16,10516,0,0,D
111,2,S,7,17,9,1895,13498,709,D
111,2,S,8,15,11,4163,11492,0,D
112,1,T,30,14,4,13424,3995,3825,V
112,1,D,20,3,10,11681,5,2630,V
112,1,D,27,4,7,11305,1546,0,V
112,1,S,27,21,7,6819,10903,194,V
112,1,S,21,20,4,5290,10920,4255,V
112,2,T,18,5,17,13448,196,7000,D
112,2,D,18,7,8,11050,0,0,D
112,2,D,23,3,8,14746,0,1488,D
112,2,S,0,24,5,0,16580,0,D
112,2,S,13,16,5,5779,9196,0,D
113,1,T,26,12,3,10467,2344,2550,V
113,1,D,29,6,2,9604,139,984,V
113,1,D,23,6,5,7777,886,119,V
113,1,S,25,11,5,6854,8297,0,V
113,1,S,14,17,7,4919,6923,602,V
113,2,T,8,4,10,5222,41,7470,D
113,2,D,13,2,10,9250,0,1007,D
113,2,D,15,1,8,8205,0,0,D
113,2,S,5,10,9,3194,6431,1541,D
113,2,S,12,8,7,6937,10658,0,D
114,1,T,19,9,0,6540,0,6866,V
114,1,D,11,5,4,4202,0,0,V
114,1,D,17,2,4,8221,890,0,V
114,1,S,10,20,1,2181,6613,53,V
114,1,S,17,18,3,3783,6948,0,V
114,2,T,6,0,9,6332,68,3796,D
114,2,D,6,0,2,6061,0,636,D
114,2,D,6,0,4,5117,0,159,D
114,2,S,1,3,7,2105,4798,835,D
114,2,S,4,4,5,2054,3579,0,D
115,1,T,22,5,8,11190,450,22192,V
115,1,D,23,0,4,11419,0,0,V
115,1,D,30,1,5,16780,0,129,V
115,1,S,12,25,5,3005,13434,1717,V
115,1,S,1,26,7,447,13782,0,V
115,2,T,18,6,8,14783,1531,8538,D
115,2,D,20,0,10,11595,320,423,D
115,2,D,12,2,8,9756,0,0,D
115,2,S,9,11,6,5225,10003,864,D
115,2,S,14,15,7,4715,9682,73,D
116,1,T,32,6,6,11804,0,9388,V
116,1,D,32,3,10,12871,1436,168,V
116,1,D,26,9,11,13485,1961,1552,V
116,1,S,29,16,9,9033,7169,0,V
116,1,S,28,26,4,6719,13328,433,V
116,2,T,18,3,11,9091,3832,8971,D
116,2,D,22,3,16,10292,0,1441,D
116,2,D,20,6,9,12091,293,0,D
116,2,S,9,11,8,2970,10995,120,D
116,2,S,21,19,12,10989,11165,0,D
117,1,T,30,8,7,11364,0,7693,V
117,1,D,27,2,8,8027,0,85,V
117,1,D,24,0,5,8745,0,936,V
117,1,S,16,25,4,3706,10181,765,V
117,1,S,8,23,3,2377,10723,0,V
117,2,T,20,5,8,9053,865,8957,D
117,2,D,19,1,8,11908,0,0,D
117,2,D,17,4,10,8427,570,0,D
117,2,S,0,18,9,174,9144,0,D
117,2,S,14,12,10,5947,5966,342,D
118,1,T,20,2,1,5257,300,3075,V
118,1,D,23,2,5,6813,0,127,V
118,1,D,17,0,7,4794,0,1184,V
118,1,S,9,12,3,2076,6433,139,V
118,1,S,13,19,3,4609,4555,0,V
118,2,T,8,1,7,4111,629,1325,D
118,2,D,8,2,6,3725,0,0,D
118,2,D,9,0,9,6221,0,36,D
118,2,S,10,2,6,4356,4050,0,D
118,2,S,5,5,7,2007,4253,230,D
119,1,T,28,7,6,13978,607,6296,V
119,1,D,29,1,11,12098,0,446,V
119,1,D,23,1,6,11752,1219,0,V
119,1,S,10,19,4,6118,9652,669,V
119,1,S,9,21,6,3607,7847,699,V
119,2,T,23,5,8,11569,3481,8872,D
119,2,D,17,0,13,10066,0,0,D
119,2,D,22,0,12,11653,351,1183,D
119,2,S,5,14,9,1734,10594,609,D
119,2,S,4,18,9,1947,11134,0,D
120,1,T,28,7,8,11312,392,4442,V
120,1,D,18,2,12,10131,1130,0,V
120,1,D,25,2,4,9953,0,0,V
120,1,S,16,17,9,7604,3577,0,V
120,1,S,17,15,5,5041,6870,937,V
120,2,T,18,5,9,5102,0,4115,D
120,2,D,22,0,10,9856,0,0,D
120,2,D,21,1,10,8803,56,3064,D
120,2,S,13,24,8,3619,9342,0,D
120,2,S,15,24,4,3783,7817,486,D
121,1,T,21,4,7,12780,825,4303,V
121,1,D,22,2,6,8502,0,0,V
121,1,D,30,1,7,13246,1396,0,V
121,1,S,14,21,3,3951,8655,384,V
121,1,S,12,22,6,4414,5711,133,V
121,2,T,17,3,8,9623,1083,8271,D
121,2,D,23,2,9,7611,0,0,D
121,2,D,12,3,10,8167,46,242,D
121,2,S,15,20,7,4213,13482,0,D
121,2,S,7,13,9,2065,9641,1118,D
122,1,T,26,2,8,14800,5388,4351,V
122,1,D,24,0,9,11956,0,556,V
122,1,D,19,3,11,7131,0,826,V
122,1,S,13,21,5,4697,12149,385,V
122,1,S,29,21,8,11112,11465,0,V
122,2,T,19,4,8,11908,505,6656,D
122,2,D,21,1,8,9786,0,51,D
122,2,D,20,5,11,13060,0,0,D
122,2,S,21,17,6,10272,15807,0,D
122,2,S,14,16,12,4702,11242,1129,D
123,1,T,23,3,7,12673,0,12600,V
123,1,D,26,0,9,14435,0,460,V
123,1,D,25,0,6,11378,888,645,V
123,1,S,12,17,7,4496,10343,169,V
123,1,S,19,21,9,6073,9305,359,V
123,2,T,22,1,11,10242,0,13091,D
123,2,D,28,1,7,13153,0,727,D
123,2,D,16,1,12,7394,835,480,D
123,2,S,16,21,7,5571,14335,0,D
123,2,S,11,12,7,3068,10370,2425,D
124,1,T,35,5,4,11173,0,15757,V
124,1,D,40,5,3,9922,0,0,V
124,1,D,30,6,11,8310,274,0,V
124,1,S,26,31,3,8285,6022,0,V
124,1,S,28,34,2,3966,11128,0,V
124,2,T,8,4,13,5641,568,6464,D
124,2,D,14,0,13,7376,403,217,D
124,2,D,12,0,14,8847,1158,0,D
124,2,S,7,8,14,4734,4517,0,D
124,2,S,6,8,8,4009,8756,0,D
125,1,T,32,14,9,20878,9716,3062,V
125,1,D,38,3,2,18841,0,0,V
125,1,D,34,0,11,15526,1044,3353,V
125,1,S,5,37,6,793,22056,2359,V
125,1,S,0,36,6,145,20116,0,V
125,2,T,21,3,7,25548,0,26634,D
125,2,D,23,3,13,20354,2521,0,D
125,2,D,17,8,14,11372,431,438,D
125,2,S,16,21,9,10337,12419,0,D
125,2,S,18,23,11,6957,15103,0,D
126,1,T,17,3,3,9267,0,4790,V
126,1,D,19,1,2,6138,0,0,V
126,1,D,19,3,3,7690,418,0,V
126,1,S,13,19,6,2993,7444,1176,V
126,1,S,19,14,3,3684,10569,0,V
126,2,T,7,1,8,8698,0,13865,D
126,2,D,11,0,4,7772,653,179,D
126,2,D,11,0,8,8235,0,1453,D
126,2,S,1,11,8,2221,4649,0,D
126,2,S,5,5,4,2038,9003,799,D
127,1,T,19,7,4,12403,0,6576,V
127,1,D,21,2,1,9138,0,0,V
127,1,D,19,7,4,7063,682,0,V
127,1,S,15,16,5,4834,5811,0,V
127,1,S,6,20,6,1796,10425,0,V
127,2,T,11,3,8,7568,0,8427,D
127,2,D,11,0,6,9072,0,0,D
127,2,D,10,0,4,5438,0,0,D
127,2,S,1,11,6,996,12161,603,D
127,2,S,9,13,7,3750,6470,0,D
128,1,T,44,9,5,19051,0,20629,V
128,1,D,31,2,11,16718,0,0,V
128,1,D,37,4,14,20752,624,48,V
128,1,S,29,36,7,7522,22211,0,V
128,1,S,24,37,6,7774,22444,677,V
128,2,T,27,2,13,22850,0,16527,D
128,2,D,16,2,16,20729,0,2168,D
128,2,D,19,3,15,20254,777,388,D
128,2,S,8,18,8,3163,22685,1227,D
128,2,S,3,12,17,5721,15760,820,D
129,1,T,24,8,2,8951,0,10338,V
129,1,D,22,2,2,6846,0,0,V
129,1,D,21,6,3,8291,0,24,V
